iteration,quality_00,quality_01,quality_02,quality_03,quality_04
565,55141,54989,54251,55045,54323
566,55141,54989,54251,55045,54323
567,55141,54989,54251,55045,54323
568,55141,54989,54251,55045,54323
569,55141,54989,54251,55034,54323
570,55141,54989,54251,55034,54323
571,55141,54989,54251,55034,54323
572,55141,54989,54251,55034,54323
573,55141,54989,54251,55034,54323
574,55141,54989,54251,55034,54323
575,55141,54989,54227,55034,54323
576,55141,54989,54227,55034,54323
577,55141,54989,54227,55034,54323
578,55141,54989,54227,55034,54323
579,55141,54989,54227,55034,54323
580,55141,54989,54227,55034,54323
581,55141,54989,54227,55032,54323
582,55141,54419,54227,55032,54323
583,55141,54419,54227,55032,54323
584,55141,54419,54227,55032,54323
585,55141,54419,54227,55032,54323
586,55141,54419,54227,55032,54323
587,55141,54419,54227,55032,54323
588,55141,54419,54227,55032,54323
589,55141,54419,54227,55032,54323
590,55141,54419,54227,55032,54323
591,55141,54419,54227,55032,54323
592,55141,54419,54227,55032,54323
593,55141,54419,54227,55032,54323
594,55141,54419,54210,55032,54323
595,55141,54419,54210,55032,54323
596,55141,54419,54210,55032,54323
597,55141,54419,54210,55032,54323
598,55141,54419,54210,55032,54323
599,55141,54419,54210,55032,54323
600,55141,54419,54210,55032,54323
601,55141,54419,54210,55032,54323
602,55122,54419,54210,55032,54323
603,55053,54419,54210,55032,54323
604,55053,54419,54210,55032,54323
605,55053,54419,54210,55032,54323
606,55053,54419,54210,55032,54323
607,55053,54419,54210,55032,54323
608,55053,54419,54210,55032,54323
609,55053,54419,54210,55032,54323
610,55053,54419,54210,55028,54323
611,54933,54419,54210,55028,54323
612,54933,54419,54210,55028,54323
613,54933,54419,54210,55028,54323
614,54663,54419,54210,55028,54323
615,54663,54419,54210,55028,54323
616,54663,54419,54210,55028,54323
617,54663,54419,54210,55028,54323
618,54663,54419,54210,55028,54323
619,54663,54419,54210,55028,54323
620,54663,54419,54210,55028,54323
621,54663,54419,54210,55028,54323
622,54663,54419,54210,55028,54323
623,54663,54419,54210,55028,54323
624,54663,54419,54210,55028,54323
625,54603,54419,54210,55028,54323
626,54603,54419,54210,55028,54323
627,54603,54419,54210,55028,54323
628,54603,54419,54135,55028,54323
629,54603,54419,54135,55028,54323
630,54603,54419,54135,55028,54323
631,54603,54246,54135,55028,54323
632,54603,54246,54135,55028,54323
633,54603,54246,54135,55028,54323
634,54603,54246,54135,55028,54323
635,54603,54246,54135,55028,54323
636,54603,54246,54135,55028,54323
637,54603,54246,54135,55028,54323
638,54603,54246,54135,55028,54323
639,54603,54246,54135,55028,54323
640,54603,54246,54135,55028,54323
641,54603,54246,54135,55028,54323
642,54603,54246,54135,55028,54323
643,54603,54246,54135,55028,54323
644,54603,54246,54135,55028,54323
645,54603,54246,54135,55028,54323
646,54603,54246,54135,55028,54323
647,54603,54246,53914,55028,54323
648,54603,54246,53914,55028,54323
649,54603,54246,53914,55028,54323
650,54603,54246,53914,55028,54323
651,54603,54246,53914,55028,54323
652,54603,54246,53914,55028,54323
653,54603,54246,53914,55028,54323
654,54603,54246,53914,55028,54323
655,54603,54246,53914,55028,54323
656,54603,54246,53914,55028,54323
657,54603,54246,53914,55028,54323
658,54603,54246,53914,55028,54323
659,54603,54246,53914,55028,54323
660,54603,54246,53914,55028,54323
661,54603,54246,53914,55028,54323
662,54603,54120,53914,55028,54307
663,54603,54120,53914,55028,54307
664,54603,54120,53914,55028,54307
665,54603,54120,53914,55028,54307
666,54603,54120,53914,55028,54307
667,54603,54120,53914,55028,54307
668,54603,54120,53914,55028,54307
669,54603,54120,53914,55028,54307
670,54603,54120,53914,55028,54307
671,54603,54120,53914,55028,54307
672,54603,54120,53914,55028,54307
673,54603,54120,53914,55028,54307
674,54603,53963,53914,55028,54307
675,54465,53963,53914,55028,54307
676,54465,53963,53914,55028,54307
677,54465,53963,53914,55028,54307
678,54465,53963,53914,55028,54307
679,54465,53963,53914,55028,54307
680,54465,53963,53914,55028,54307
681,54465,53963,53914,55028,54307
682,54465,53963,53914,55028,54307
683,54465,53963,53914,55028,54307
684,54465,53963,53914,55028,54307
685,54465,53963,53914,55028,54307
686,54465,53963,53914,55028,54307
687,54465,53963,53914,55028,54307
688,54465,53963,53914,55028,54307
689,54465,53963,53914,55028,54307
690,54465,53963,53914,55028,54307
691,54465,53963,53914,55028,54307
692,54465,53963,53914,55028,54307
693,54465,53963,53914,55028,54307
694,54465,53963,53914,55028,54307
695,54465,53963,53712,55028,54307
696,54465,53963,53712,55028,54307
697,54465,53963,53712,55028,54307
698,54465,53963,53712,55028,54307
699,54465,53963,53712,55028,54307
700,54465,53963,53712,55028,54307
701,54465,53963,53712,55028,54307
702,54465,53963,53712,55028,54307
703,54465,53963,53712,55022,54307
704,54465,53963,53712,55022,54307
705,54465,53963,53712,55022,54307
706,54465,53963,53712,55022,54307
707,54465,53963,53712,55022,54307
708,54465,53963,53712,55022,54307
709,54465,53963,53712,55022,54307
710,54465,53963,53712,55022,54307
711,54465,53963,53712,55022,54307
712,54465,53963,53712,55022,54307
713,54465,53963,53712,55022,54307
714,54423,53963,53712,55022,54307
715,54423,53963,53712,55022,54307
716,54423,53963,53398,55022,54307
717,54423,53963,53398,55022,54307
718,54423,53963,53398,55022,54307
719,54274,53963,53398,55022,54307
720,54274,53963,53398,55022,54307
721,54274,53963,53398,55022,54307
722,54274,53963,53398,55022,54307
723,54274,53963,53398,55022,54307
724,54274,53963,53398,55022,54307
725,54274,53963,53398,55022,54307
726,54274,53963,53398,55022,54307
727,54274,53963,53398,55022,54307
728,54274,53963,53398,55022,54307
729,54215,53963,53398,55022,54307
730,54215,53963,53398,55022,54307
731,54215,53963,53398,55022,54307
732,54215,53963,53398,55022,54307
733,54215,53963,53398,55022,54307
734,54215,53963,53398,54880,54307
735,54215,53963,53398,54880,54307
736,54215,53963,53398,54880,54307
737,54215,53963,53398,54880,54307
738,54215,53963,53398,54880,54307
739,54215,53963,53398,54880,54307
740,54215,53963,53398,54880,54307
741,54215,53963,53398,54880,54307
742,54215,53963,53398,54880,54307
743,54215,53963,53398,54880,54307
744,54215,53963,53189,54880,54307
745,54215,53963,53189,54880,54307
746,54215,53963,53189,54880,54307
747,54215,53963,53189,54880,54307
748,54215,53963,53189,54797,54307
749,54215,53963,53189,54797,54307
750,54215,53963,53189,54797,54307
751,54215,53963,53189,54797,54307
752,54215,53963,53189,54797,54307
753,54215,53963,53189,54797,54307
754,54215,53963,53189,54797,54307
755,54215,53963,53189,54797,54307
756,54215,53963,53189,54797,54307
757,54215,53963,53189,54797,54307
758,54215,53963,53189,54797,54307
759,54215,53963,53189,54797,54307
760,54215,53963,53189,54797,54307
761,54215,53963,53189,54797,54307
762,54215,53963,53189,54797,54307
763,54215,53963,53189,54797,54307
764,54215,53963,53189,54797,54307
765,54215,53963,53189,54797,54307
766,54215,53963,53189,54797,54307
767,54215,53963,53189,54797,54307
768,54215,53963,53189,54797,54307
769,54215,53963,53189,54797,54307
770,54215,53963,53189,54797,54307
771,54215,53963,53189,54797,54307
772,54215,53963,53189,54797,54307
773,54215,53963,53189,54797,54307
774,54215,53963,53189,54797,54307
775,54215,53963,53189,54797,54307
776,54215,53963,53189,54797,54307
777,54215,53963,53189,54797,54307
778,54215,53963,53189,54797,54307
779,54215,53963,53189,54797,54307
780,54215,53963,53189,54797,54307
781,54215,53963,53189,54797,54307
782,54215,53963,53189,54797,54281
783,54215,53963,53189,54797,54281
784,54215,53963,53189,54797,54281
785,54215,53963,53189,54797,54281
786,54215,53963,53189,54797,54281
787,54215,53963,53189,54797,54281
788,54215,53963,53189,54797,54281
789,54215,53963,53189,54797,54281
790,54215,53809,53189,54797,54281
791,54215,53809,53189,54797,54281
792,54215,53809,53189,54797,54281
793,54215,53809,53189,54797,54281
794,54215,53809,53189,54797,54281
795,54215,53809,53189,54712,54281
796,54215,53809,53189,54712,54281
797,54215,53809,53189,54712,54281
798,54215,53809,53189,54712,54281
799,54215,53809,53189,54712,54281
800,54215,53809,53189,54712,54281
801,54215,53809,53189,54712,54281
802,54215,53809,53189,54712,54281
803,54215,53809,53189,54712,54281
804,54215,53809,53189,54712,54281
805,54215,53809,53189,54712,54281
806,54215,53809,53189,54712,54281
807,54215,53809,53189,54712,54281
808,54215,53809,53189,54712,54281
809,54215,53809,53189,54712,54281
810,54215,53809,53189,54712,54281
811,54215,53809,53189,54712,54281
812,54215,53809,53189,54712,54281
